id,name,identifier,definition,abbreviation,category
1d94ec58-e745-4f1f-bc30-dcdff238b473,Analysis,,,Anlys,5e35d447-f325-464c-978b-88a43a1a5172
69025df3-0f14-462f-96da-aa15f330110c,Archive,,,Archv,5e35d447-f325-464c-978b-88a43a1a5172
9c41bb59-8c6e-439f-876b-94a8bbaa60e1,Calibration,,,Cali,5e35d447-f325-464c-978b-88a43a1a5172
b619ecf4-86eb-4bea-981d-1aa4376b833b,Coordinate Transforms,,,CoTrn,5e35d447-f325-464c-978b-88a43a1a5172
8ae70a42-b982-4cdf-8159-12eb54673d79,Coordinate Transforms,,,CrdTr,f86ef743-942a-4ec8-9c9e-4dccbe512a87
548383ed-835e-4cc8-a654-947102d99e4f,Data-Guided,,,DatGd,0491da4e-9706-4600-90fa-58f264d97f0a
e6161d57-6c99-4aef-95a3-8cb47785e8e9,Data Servers Processing and Handling,,,DSPrc,769e4e9d-c06b-4fb5-b17c-f2207cc24930
15afd961-2fec-4f81-8947-a8988d6cc411,Distribution / Access,,,Dist,5e35d447-f325-464c-978b-88a43a1a5172
0012fe1e-f568-4386-9db0-eca7a269351a,Empirical,,,Empr,0491da4e-9706-4600-90fa-58f264d97f0a
400a4185-a463-46c5-a8bd-d6589e3d8477,First Principles,,,1Prnc,0491da4e-9706-4600-90fa-58f264d97f0a
70569103-a848-4a56-9983-afa206c04364,Forecasting,,,Frcst,0491da4e-9706-4600-90fa-58f264d97f0a
1bdc1cab-c533-4e5c-a2fd-fdb4f78468f1,Forward Fitting,,,FFitt,0491da4e-9706-4600-90fa-58f264d97f0a
9a8b4863-cd40-4445-9d62-a916382962ae,High Performance Computing,,,HComp,769e4e9d-c06b-4fb5-b17c-f2207cc24930
53dff746-3314-4d73-a9a8-3d761bd0950b,Image Processing,,,ImPrc,f86ef743-942a-4ec8-9c9e-4dccbe512a87
a9ffcf30-6a13-49ef-adb6-1870d6c16a86,Infrastructure as Code,,,InfCd,5e35d447-f325-464c-978b-88a43a1a5172
67c8ddf5-f35b-4e67-a44b-dc702c854d6a,Ingest,,,Ingst,5e35d447-f325-464c-978b-88a43a1a5172
2f965654-e84c-4e23-8d90-15ec4c8950a6,Instrumentation,,,Instr,5e35d447-f325-464c-978b-88a43a1a5172
b339115e-8cee-411f-99f9-64cee3fd48df,Instrument Response,,,InRes,0491da4e-9706-4600-90fa-58f264d97f0a
584f63a0-995a-44bb-9227-7ed7885bc5ca,Instrument Response,,,InRes,5e35d447-f325-464c-978b-88a43a1a5172
a074fe07-fc78-4e70-a45b-8084fa6a2f2b,Inventory,,,Inv,5e35d447-f325-464c-978b-88a43a1a5172
e2a16c07-08c0-427e-bd2d-f5e6ad2e4373,Magnetohydrodynamics,,,MHD,0491da4e-9706-4600-90fa-58f264d97f0a
a38e9f77-afb9-49f1-99c9-f5c4d6fac395,Mission-Specific Visualization,,,MiVis,5e35d447-f325-464c-978b-88a43a1a5172
f75f328f-ac84-48aa-949e-a03dea8cb6fb,ML/AI Codes,,,ML AI,5b1aac07-0adc-45cc-96f3-f264daf8b2f0
7ba9d788-68b0-4627-9622-e7a800f26239,Monitoring,,,Mntr,5e35d447-f325-464c-978b-88a43a1a5172
eb687687-45dc-4814-804e-7e84aab34d26,Observatory / Instrument Models,,,InMdl,5e35d447-f325-464c-978b-88a43a1a5172
2da05e47-a5aa-4727-af66-cafb67d625c5,Operations,,,Ops,5e35d447-f325-464c-978b-88a43a1a5172
be596751-82db-40d3-a681-022013bd8540,Orchestration,,,Orch,5e35d447-f325-464c-978b-88a43a1a5172
515b237d-3ea5-436c-ac96-5c36e37d3d61,Other,,,?,f86ef743-942a-4ec8-9c9e-4dccbe512a87
1e702447-205c-464c-88b2-281f85ae10dd,Packet Decommutation,,,PakDe,5e35d447-f325-464c-978b-88a43a1a5172
c715f91c-f9fe-4756-a6f4-f4fce77bef93,Physics-Based,,,Phys,0491da4e-9706-4600-90fa-58f264d97f0a
bf2324e5-b6e3-4264-ad2e-dd4f4e92efef,Processing,,,Prcss,5e35d447-f325-464c-978b-88a43a1a5172
637927e5-a69a-4f22-82af-e8f29f9d016c,Science Data Processing,,,SDPrc,5e35d447-f325-464c-978b-88a43a1a5172
38ac228e-59ea-436c-96e6-eee21bfd76da,Software / Environment Container,,,Contr,769e4e9d-c06b-4fb5-b17c-f2207cc24930
af5811a9-7a7f-46eb-ad2d-4b0504598b4e,System Testing,,,Test,5e35d447-f325-464c-978b-88a43a1a5172
2a0a0739-b098-4dfa-9beb-88078be83184,Theory,,,Thry,0491da4e-9706-4600-90fa-58f264d97f0a
