id,sort_value,software,phenomena
107,1,37a18000-2d1f-41db-afe6-6545f817bcb7,82801102-0270-4fbc-ae73-24afeda2d299
87,1,b5742bb7-4c8e-45cd-9429-65cb75f32795,73b7fe8c-ee03-46eb-83d8-0ce77956245a
115,1,110491fc-f060-4b9d-ab2c-bb0806824948,e85b749e-5788-425a-8952-8fc9a329216b
110,1,d5abf164-694c-4a24-8528-7395a7a01326,754b7219-9dc1-4d74-9918-c5f1c0947192
111,1,84062431-340c-4ac1-bdc9-a79a431d9869,82801102-0270-4fbc-ae73-24afeda2d299
94,1,b5867d88-1fd5-476e-98e0-498ccbf41655,754b7219-9dc1-4d74-9918-c5f1c0947192
113,1,9de35b9b-704e-4cf3-b580-fff54b9ede15,82801102-0270-4fbc-ae73-24afeda2d299
114,1,da5cb52c-1e0a-4c22-ab96-e05c210c0e60,e85b749e-5788-425a-8952-8fc9a329216b
95,1,0321f375-4f6c-47d8-9181-125b0274ee6b,e14b60b4-c841-4658-9bac-f9298a442562
126,1,a74cb76b-da08-4412-817f-3240e52c5dde,e14b60b4-c841-4658-9bac-f9298a442562
123,1,8ee452af-f474-42ab-900a-691a1e25257f,e14b60b4-c841-4658-9bac-f9298a442562
122,1,a562afcf-b6f7-4ddd-be72-d450f8de9fc0,73b7fe8c-ee03-46eb-83d8-0ce77956245a
99,1,80c6de8f-a5f2-4897-9ca8-593d8a126590,e14b60b4-c841-4658-9bac-f9298a442562
91,1,aa39bfc8-4980-4663-adf0-b7ee94f6b976,82801102-0270-4fbc-ae73-24afeda2d299
120,1,9da56adf-1252-4ca9-85cf-5fd8fb950cdf,e14b60b4-c841-4658-9bac-f9298a442562
102,1,96059067-e0dd-4d80-b2bf-60ec9378609d,e14b60b4-c841-4658-9bac-f9298a442562
92,1,55fe5714-b786-4cda-83f2-44afeb341a92,7d073440-38e0-4f33-9e88-4d3ed2f9ed7e
104,1,1744df14-f1f1-451b-a384-28e3a1beba7f,82801102-0270-4fbc-ae73-24afeda2d299
88,1,8054183f-794a-4914-a8cb-a379bb9f1040,e14b60b4-c841-4658-9bac-f9298a442562
117,1,db2bcb8a-c799-4233-9699-dea23b975972,e14b60b4-c841-4658-9bac-f9298a442562
108,2,37a18000-2d1f-41db-afe6-6545f817bcb7,e85b749e-5788-425a-8952-8fc9a329216b
89,2,8054183f-794a-4914-a8cb-a379bb9f1040,e85b749e-5788-425a-8952-8fc9a329216b
93,2,55fe5714-b786-4cda-83f2-44afeb341a92,73b7fe8c-ee03-46eb-83d8-0ce77956245a
96,2,0321f375-4f6c-47d8-9181-125b0274ee6b,e85b749e-5788-425a-8952-8fc9a329216b
100,2,80c6de8f-a5f2-4897-9ca8-593d8a126590,e85b749e-5788-425a-8952-8fc9a329216b
103,2,96059067-e0dd-4d80-b2bf-60ec9378609d,754b7219-9dc1-4d74-9918-c5f1c0947192
105,2,1744df14-f1f1-451b-a384-28e3a1beba7f,e85b749e-5788-425a-8952-8fc9a329216b
112,2,84062431-340c-4ac1-bdc9-a79a431d9869,73b7fe8c-ee03-46eb-83d8-0ce77956245a
116,2,110491fc-f060-4b9d-ab2c-bb0806824948,754b7219-9dc1-4d74-9918-c5f1c0947192
118,2,db2bcb8a-c799-4233-9699-dea23b975972,754b7219-9dc1-4d74-9918-c5f1c0947192
121,2,9da56adf-1252-4ca9-85cf-5fd8fb950cdf,e85b749e-5788-425a-8952-8fc9a329216b
124,2,8ee452af-f474-42ab-900a-691a1e25257f,e85b749e-5788-425a-8952-8fc9a329216b
127,2,a74cb76b-da08-4412-817f-3240e52c5dde,e85b749e-5788-425a-8952-8fc9a329216b
119,3,db2bcb8a-c799-4233-9699-dea23b975972,5e6ea23a-9318-4ad7-bb98-197591c4312c
90,3,8054183f-794a-4914-a8cb-a379bb9f1040,754b7219-9dc1-4d74-9918-c5f1c0947192
101,3,80c6de8f-a5f2-4897-9ca8-593d8a126590,754b7219-9dc1-4d74-9918-c5f1c0947192
97,3,0321f375-4f6c-47d8-9181-125b0274ee6b,754b7219-9dc1-4d74-9918-c5f1c0947192
128,3,a74cb76b-da08-4412-817f-3240e52c5dde,754b7219-9dc1-4d74-9918-c5f1c0947192
109,3,37a18000-2d1f-41db-afe6-6545f817bcb7,73b7fe8c-ee03-46eb-83d8-0ce77956245a
125,3,8ee452af-f474-42ab-900a-691a1e25257f,754b7219-9dc1-4d74-9918-c5f1c0947192
106,3,1744df14-f1f1-451b-a384-28e3a1beba7f,754b7219-9dc1-4d74-9918-c5f1c0947192
129,4,a74cb76b-da08-4412-817f-3240e52c5dde,5e6ea23a-9318-4ad7-bb98-197591c4312c
98,4,0321f375-4f6c-47d8-9181-125b0274ee6b,5e6ea23a-9318-4ad7-bb98-197591c4312c
